"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"206171","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LAURENCE OF CANTERBURY ",302,436
"206172","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53,"TOOLE LORCAN UA TUATHAIL ",302,82
"5067","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177,"TOOLE LORCAN UA TUATHAIL ",93,82
"6485","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LAZARUS OF BETHANY ",134,6
"18741","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," LEANDER ",70,423
"7136","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," LEBUIN LIAFWINE ",65,545
"153","NL","NL","NLD",528,"Netherlands",3388,1632769,150,155,5.389,52.077," LEBUIN LIAFWINE ",1,545
"206173","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LEBUIN LIAFWINE ",302,545
"6486","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LEGER LEODEGAR ",134,480
"206174","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LEGER LEODEGAR ",302,480
"18742","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," LEO THE GREAT ",70,374
"8554","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," LEO IX ",87,29
"7137","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," LEO IX ",65,29
"6487","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LEO IX ",134,29
"6488","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LEONARD ",134,402
"206175","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LEONARD ",302,402
"8555","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," LEONARD ",87,402
"8556","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," LEONARD OF PORT MAURICE ",87,239
"8557","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," LEONARDI JOHN ",87,193
"5619","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," LEOPOLD III ",24,64
"6489","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LESTONNAC JEANNE DE",134,209
"206176","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LEWIS DAVID CHARLES BAKER ",302,221
"15410","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," LIDE ELID ELIDIUS ",18,NA
"206177","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LINE ANNE ",302,189
"7138","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," LIOBA LIOBGYTHA ",65,549
